source,title,description,text,label
CoinTelegraph,Is Dogecoin coming to Twitter? Watch The Market Report,"On this week’s episode of The Market Report, Cointelegraph’s resident expert explains why Dogecoin has been pumping and what it has to do with Twitter and Elon Musk.","Source: CoinTelegraph Title: Is Dogecoin coming to Twitter? Watch The Market Report Description: On this week’s episode of The Market Report, Cointelegraph’s resident expert explains why Dogecoin has been pumping and what it has to do with Twitter and Elon Musk.",1
CryptoNews,Ethereum Price Prediction as Shanghai Upgrade Approaches \x93 Will Ethereum Dump After the News?,"Ether (ETH) faces the risk of a sell-the-news reaction to an important upcoming upgrade, but technicals remain positive and a near-term test of $2,000 remains a strong likelihood.","Source: CryptoNews Title: Ethereum Price Prediction as Shanghai Upgrade Approaches \x93 Will Ethereum Dump After the News? Description: Ether (ETH) faces the risk of a sell-the-news reaction to an important upcoming upgrade, but technicals remain positive and a near-term test of $2,000 remains a strong likelihood.",1
CryptoPotato,Allbridge Exploiter Returns Around $465k of Stolen Funds,Allbridge is yet to publicly disclose the exact amount of stolen funds. ,Source: CryptoPotato Title: Allbridge Exploiter Returns Around $465k of Stolen Funds Description: Allbridge is yet to publicly disclose the exact amount of stolen funds. ,1
CoinTelegraph,Deposits to zkSync surpass $110M as its DeFi ecosystem explodes,Crypto traders are actively investing in projects launching on zkSync as the hype around its potential governance token airdrop increases.,Source: CoinTelegraph Title: Deposits to zkSync surpass $110M as its DeFi ecosystem explodes Description: Crypto traders are actively investing in projects launching on zkSync as the hype around its potential governance token airdrop increases.,1
CryptoNews,Crypto Listing and Delisting Announcements: Week 14,"Here is our weekly collection of digital asset listing and delisting, trading pair-related announcements by crypto exchanges that we found last week and today.Have we missed something? Do you have information about new listings and/or...","Source: CryptoNews Title: Crypto Listing and Delisting Announcements: Week 14 Description: Here is our weekly collection of digital asset listing and delisting, trading pair-related announcements by crypto exchanges that we found last week and today.Have we missed something? Do you have information about new listings and/or...",0
CoinTelegraph,Liquidity protocol Sentiment exploited for over $500K,"More than $536,000 was drained from the Synapse Bridge on April 4, according to Ethereum blockchain data.","Source: CoinTelegraph Title: Liquidity protocol Sentiment exploited for over $500K Description: More than $536,000 was drained from the Synapse Bridge on April 4, according to Ethereum blockchain data.",0
CoinTelegraph,"Fed liquidity injections drive down US Treasury yields, but not Bitcoin price","Regulatory uncertainty and the recent enforcement actions taken against major crypto exchanges reduces the odds of Bitcoin breaking above $30,000 in the short-term, but investors are still bullish.","Source: CoinTelegraph Title: Fed liquidity injections drive down US Treasury yields, but not Bitcoin price Description: Regulatory uncertainty and the recent enforcement actions taken against major crypto exchanges reduces the odds of Bitcoin breaking above $30,000 in the short-term, but investors are still bullish.",0
CryptoNews,"Bitcoin Price Prediction as BTC Bounces From Support and Heads Higher \x93 Can BTC Surge Past $30,000 Soon?","Bitcoin's price shows promising signs as it rebounds from support levels and heads higher. As investors wonder whether BTC can soon surpass the $30,000 mark, market analysis helps make informed predictions about its future trajectory.","Source: CryptoNews Title: Bitcoin Price Prediction as BTC Bounces From Support and Heads Higher \x93 Can BTC Surge Past $30,000 Soon? Description: Bitcoin's price shows promising signs as it rebounds from support levels and heads higher. As investors wonder whether BTC can soon surpass the $30,000 mark, market analysis helps make informed predictions about its future trajectory.",1
CryptoPotato,Paxful P2P Marketplace Closes Down Amid Multiple Executive Departures,Regulatory compliance costs and a legal battle among executives have pushed another peer-to-peer crypto exchange to its demise.\xa0,Source: CryptoPotato Title: Paxful P2P Marketplace Closes Down Amid Multiple Executive Departures Description: Regulatory compliance costs and a legal battle among executives have pushed another peer-to-peer crypto exchange to its demise.\xa0,1
CoinTelegraph,"Web3 digital identity is here to stay, but it has a long way to go",How do Web3-based digital identity solutions empower users?,"Source: CoinTelegraph Title: Web3 digital identity is here to stay, but it has a long way to go Description: How do Web3-based digital identity solutions empower users?",0
CoinTelegraph,Celo Foundation and Google Cloud partner to support sustainable Web3 startups,"The collaboration is set to allow founders building on Celo to access credits for Google Cloud and Google’s mobile development platform, Firebase.","Source: CoinTelegraph Title: Celo Foundation and Google Cloud partner to support sustainable Web3 startups Description: The collaboration is set to allow founders building on Celo to access credits for Google Cloud and Google’s mobile development platform, Firebase.",1
CoinTelegraph,LayerZero raises $120M to expand cross-chain messaging efforts,The new funds will be used to increase headcount and expand the company’s presence in the Asia-Pacific region.,Source: CoinTelegraph Title: LayerZero raises $120M to expand cross-chain messaging efforts Description: The new funds will be used to increase headcount and expand the company’s presence in the Asia-Pacific region.,0
CoinTelegraph,"Arbitrum FUD spooks the market, but on-chain data shows whales accumulating ARB","On-chain data and technical analysis shows strength in ARB price, even after a weekend filled with rumors and sell-offs.","Source: CoinTelegraph Title: Arbitrum FUD spooks the market, but on-chain data shows whales accumulating ARB Description: On-chain data and technical analysis shows strength in ARB price, even after a weekend filled with rumors and sell-offs.",1
CryptoPotato,Bitcoin Emerges as Winner in Q1 with 70% Price Rise and 800M Transactions Passed: Report,"As digital asset markets continued to make big moves, Bitcoin emerged as a clear winner. ","Source: CryptoPotato Title: Bitcoin Emerges as Winner in Q1 with 70% Price Rise and 800M Transactions Passed: Report Description: As digital asset markets continued to make big moves, Bitcoin emerged as a clear winner. ",1
CoinTelegraph,"Banking crisis could spark the first 'extended duration Bitcoin bull market,' says Swan Bitcoin CEO","The next BTC bull market will last longer than previous ones due to the latest banking crisis, according to Swan Bitcoin CEO Cory Klippsten.","Source: CoinTelegraph Title: Banking crisis could spark the first 'extended duration Bitcoin bull market,' says Swan Bitcoin CEO Description: The next BTC bull market will last longer than previous ones due to the latest banking crisis, according to Swan Bitcoin CEO Cory Klippsten.",0
CryptoNews,S&P Global Puts Decentralized Finance at the Forefront with New DeFi Director Hire \x93 Crypto Going Mainstream?,S&P Global is on the hunt for a DeFi director to oversee its expansion into the rapidly evolving decentralized finance sector.,Source: CryptoNews Title: S&P Global Puts Decentralized Finance at the Forefront with New DeFi Director Hire \x93 Crypto Going Mainstream? Description: S&P Global is on the hunt for a DeFi director to oversee its expansion into the rapidly evolving decentralized finance sector.,0
CryptoNews,DOJ Seizes $112M Linked to Cryptocurrency Investment Schemes in Multi-District Action,The US Department of Justice has seized crypto worth more than $112 million that is linked to several crypto-related scams.,Source: CryptoNews Title: DOJ Seizes $112M Linked to Cryptocurrency Investment Schemes in Multi-District Action Description: The US Department of Justice has seized crypto worth more than $112 million that is linked to several crypto-related scams.,0
CryptoNews,"Today in Crypto: $437,483,543 Lost to Crypto Hacks & Frauds in Q1, Italian Man Swindled Out of $1.8M, Metaco Partners with VP Bank","Get your daily, bite-sized digest of cryptoasset and blockchain-related news.","Source: CryptoNews Title: Today in Crypto: $437,483,543 Lost to Crypto Hacks & Frauds in Q1, Italian Man Swindled Out of $1.8M, Metaco Partners with VP Bank Description: Get your daily, bite-sized digest of cryptoasset and blockchain-related news.",0
CryptoPotato,OPNX Crypto Exchange Formed by 3AC Founders Goes Live,"OPNX, the new venture by the bankrupt Three Arrows Capital founders, has gone live with a planned giveaway of its native tokens FLEX.","Source: CryptoPotato Title: OPNX Crypto Exchange Formed by 3AC Founders Goes Live Description: OPNX, the new venture by the bankrupt Three Arrows Capital founders, has gone live with a planned giveaway of its native tokens FLEX.",1
CoinTelegraph,73.3% of Q1 rug pulls happened on BNB Chain: Immunefi,"Rug pulls and other frauds made up a small percentage of losses compared to hacks and exploits, the report stated.","Source: CoinTelegraph Title: 73.3% of Q1 rug pulls happened on BNB Chain: Immunefi Description: Rug pulls and other frauds made up a small percentage of losses compared to hacks and exploits, the report stated.",0
CryptoNews,"310,000 Private Digital Yuan Wallets Opened in China's Nanjing Since 2022 \x93 Is the CBDC Taking Off?","Citizens in Nanjing, China, have opened more than 310,000 personal digital yuan wallets \x93 with other cities in the nation also posting similar statistics.","Source: CryptoNews Title: 310,000 Private Digital Yuan Wallets Opened in China's Nanjing Since 2022 \x93 Is the CBDC Taking Off? Description: Citizens in Nanjing, China, have opened more than 310,000 personal digital yuan wallets \x93 with other cities in the nation also posting similar statistics.",0
CryptoPotato,Signature Bank Top Execs Secretly Sold $100M in Stock: Report,Filings with the FDIC reportedly helped Signature Bank's executives to escape notice from investors and services that monitor insider trades.,Source: CryptoPotato Title: Signature Bank Top Execs Secretly Sold $100M in Stock: Report Description: Filings with the FDIC reportedly helped Signature Bank's executives to escape notice from investors and services that monitor insider trades.,0
CoinTelegraph,TON validators receive single nominator smart contract,"Orbs’ single-nominator contract offers independent validation for validators, safeguards against gas attacks and enables stake recovery during emergencies.","Source: CoinTelegraph Title: TON validators receive single nominator smart contract Description: Orbs’ single-nominator contract offers independent validation for validators, safeguards against gas attacks and enables stake recovery during emergencies.",1
CoinTelegraph,Why is Dogecoin price up today?,Dogecoin price hits a four-month high after rallying 30% in a day with Elon Musk and Twitter playing a central role in the DOGE craze once again.,Source: CoinTelegraph Title: Why is Dogecoin price up today? Description: Dogecoin price hits a four-month high after rallying 30% in a day with Elon Musk and Twitter playing a central role in the DOGE craze once again.,1
CryptoNews,Solana Price Prediction as $500 Million Trading Volume Floods In \x93 SOL Pump Incoming?,"The SOL token, which powers the Solana smart contracts ecosystem, is currently trading at $20.00, 60% above the lowest price point in 2022, and 30% above the lows experienced in March 2023, indicating a significant...","Source: CryptoNews Title: Solana Price Prediction as $500 Million Trading Volume Floods In \x93 SOL Pump Incoming? Description: The SOL token, which powers the Solana smart contracts ecosystem, is currently trading at $20.00, 60% above the lowest price point in 2022, and 30% above the lows experienced in March 2023, indicating a significant...",1
CryptoNews,European Traditional Finance Banks Join Forces for Blockchain-Based Digital Bonds Trading Platform,"Major European banks SEB and CrÃ©dit Agricole have launched so|bond, a new blockchain-based platform for issuing digital bonds in the traditional financial sector.","Source: CryptoNews Title: European Traditional Finance Banks Join Forces for Blockchain-Based Digital Bonds Trading Platform Description: Major European banks SEB and CrÃ©dit Agricole have launched so|bond, a new blockchain-based platform for issuing digital bonds in the traditional financial sector.",0
CoinTelegraph,European banks launch 'sustainable' blockchain platform for digital bonds,The platform makes the first use case of a so-called “Proof of Climate” blockchain protocol.,Source: CoinTelegraph Title: European banks launch 'sustainable' blockchain platform for digital bonds Description: The platform makes the first use case of a so-called “Proof of Climate” blockchain protocol.,0
CryptoNews,North Korean Hackers Target Cryptocurrency Firms in Massive 3CX Supply Chain Hack \x93Â\xa0Here's What Happened,"Russian cybersecurity firm Kaspersky has warned of a new form of attack on cryptocurrency firms, which it says is carried out with 'surgical precision' by hackers using corrupted software.","Source: CryptoNews Title: North Korean Hackers Target Cryptocurrency Firms in Massive 3CX Supply Chain Hack \x93Â\xa0Here's What Happened Description: Russian cybersecurity firm Kaspersky has warned of a new form of attack on cryptocurrency firms, which it says is carried out with 'surgical precision' by hackers using corrupted software.",0
CoinTelegraph,Cointelegraph Accelerator and bitsCrunch Startup Program join to aid NFT projects,"Through a new initiative, Cointelegraph Accelerator and the bitsCrunch Startup Program aim to help startups in the NFT data space by providing free data tools.","Source: CoinTelegraph Title: Cointelegraph Accelerator and bitsCrunch Startup Program join to aid NFT projects Description: Through a new initiative, Cointelegraph Accelerator and the bitsCrunch Startup Program aim to help startups in the NFT data space by providing free data tools.",0
CoinTelegraph,Dragonfly Capital invests $10M in Bitget amid industry recovery,"The exchange currently facilitates cryptocurrency derivatives trading with an open interest of $2.4 billion and has plans to expand its spot trading, launchpad and Bitget Earn products.","Source: CoinTelegraph Title: Dragonfly Capital invests $10M in Bitget amid industry recovery Description: The exchange currently facilitates cryptocurrency derivatives trading with an open interest of $2.4 billion and has plans to expand its spot trading, launchpad and Bitget Earn products.",0
CoinTelegraph,Bitcoin price bounces after CZ arrest rumors as traders eye $30K next,"BTC price action performs a 'classic sweep' of the lows with Bitcoin on track to tackle the $30,000 mark once again.","Source: CoinTelegraph Title: Bitcoin price bounces after CZ arrest rumors as traders eye $30K next Description: BTC price action performs a 'classic sweep' of the lows with Bitcoin on track to tackle the $30,000 mark once again.",1
CryptoNews,A Sharp Rise in Bogus Russian Crypto Exchanges \x93 How Are Fraudsters Targeting Russians?,"A \x9csignificant\x9d rise in the number of fraudulent crypto exchanges targeting Russians and Russian-speaking crypto traders has been detected, a new report has found.","Source: CryptoNews Title: A Sharp Rise in Bogus Russian Crypto Exchanges \x93 How Are Fraudsters Targeting Russians? Description: A \x9csignificant\x9d rise in the number of fraudulent crypto exchanges targeting Russians and Russian-speaking crypto traders has been detected, a new report has found.",0
CryptoNews,Binance Founder CZ Denies Sudden Red Interpol Notice Rumors \x93 Here's the Latest,"Binance CEO has refuted allegations that he has received an Interpol Red Notice seeking to locate and arrest the crypto founder, calling the rumor 'FUD.'","Source: CryptoNews Title: Binance Founder CZ Denies Sudden Red Interpol Notice Rumors \x93 Here's the Latest Description: Binance CEO has refuted allegations that he has received an Interpol Red Notice seeking to locate and arrest the crypto founder, calling the rumor 'FUD.'",0
CoinTelegraph,"What is Gods Unchained, and how to play it",Gods Unchained is a blockchain-based card game where players have true ownership of their assets. This guide has all you need to know.,"Source: CoinTelegraph Title: What is Gods Unchained, and how to play it Description: Gods Unchained is a blockchain-based card game where players have true ownership of their assets. This guide has all you need to know.",0
CryptoNews,"Bitcoin Price and Ethereum Prediction: DOGE Soars 35%, Will BTC and ETH Follow Suit?","The cryptocurrency market has experienced many ups and downs lately, but things are looking positive now. This trend may be attributed to the improving global economy and lower inflation rates.","Source: CryptoNews Title: Bitcoin Price and Ethereum Prediction: DOGE Soars 35%, Will BTC and ETH Follow Suit? Description: The cryptocurrency market has experienced many ups and downs lately, but things are looking positive now. This trend may be attributed to the improving global economy and lower inflation rates.",1
CoinTelegraph,Unlocking mass adoption: The importance of user-friendly crypto wallets,Complicated infrastructure is the last barrier that must be overcome before achieving mainstream crypto adoption.,Source: CoinTelegraph Title: Unlocking mass adoption: The importance of user-friendly crypto wallets Description: Complicated infrastructure is the last barrier that must be overcome before achieving mainstream crypto adoption.,0
CryptoPotato,South Korean Authorities Seize Terra Executives Assets Worth $160M: Report,"The seized property, most of which is real estate, was seized to ensure it remains available for litigation.","Source: CryptoPotato Title: South Korean Authorities Seize Terra Executives Assets Worth $160M: Report Description: The seized property, most of which is real estate, was seized to ensure it remains available for litigation.",0
CoinTelegraph,Allbridge exploiter returns most of the $573K stolen in attack,"An exploit resulted in around $573,000 in crypto looted from Allbridge, but the hacker has now seemingly accepted the offer of a “white hat bounty.”","Source: CoinTelegraph Title: Allbridge exploiter returns most of the $573K stolen in attack Description: An exploit resulted in around $573,000 in crypto looted from Allbridge, but the hacker has now seemingly accepted the offer of a “white hat bounty.”",0
CoinTelegraph,Satellite orbiting Earth participates in the Ethereum KZG ceremony,The blockchain-powered satellite Cryptosat will be the contributor of the thousands that have already participated in the Ethereum KZG ceremony to do so from outer space.,Source: CoinTelegraph Title: Satellite orbiting Earth participates in the Ethereum KZG ceremony Description: The blockchain-powered satellite Cryptosat will be the contributor of the thousands that have already participated in the Ethereum KZG ceremony to do so from outer space.,0
CryptoPotato,CZ Says Interpol Red Notice Rumors Are FUD,The world’s largest crypto exchange Binance has seen its market dominance dwindle following the CFTC lawsuit last month.,Source: CryptoPotato Title: CZ Says Interpol Red Notice Rumors Are FUD Description: The world’s largest crypto exchange Binance has seen its market dominance dwindle following the CFTC lawsuit last month.,0
CryptoPotato,Despite Being Hacked Twice BitKeep Rakes in Over $10M Users,BitKeep plans on ramping up web3 efforts by supporting the ZK-Rollup ecosystem in the near future. ,Source: CryptoPotato Title: Despite Being Hacked Twice BitKeep Rakes in Over $10M Users Description: BitKeep plans on ramping up web3 efforts by supporting the ZK-Rollup ecosystem in the near future. ,0
CoinTelegraph,"Bitcoin ‘untouchable’ amid regulatory pressures, says analyst","Bitcoin is 'untouchable,” because it's more decentralized than other cryptocurrencies in the space such as Ether according to senior commodity strategist Mike McGlone.","Source: CoinTelegraph Title: Bitcoin ‘untouchable’ amid regulatory pressures, says analyst Description: Bitcoin is 'untouchable,” because it's more decentralized than other cryptocurrencies in the space such as Ether according to senior commodity strategist Mike McGlone.",1
CoinTelegraph,Ethereum Archive Node service shuts down saying it ‘succeeded’,ArchiveNode.io has closed its doors following three years of providing archived Ethereum blockchain node data.,Source: CoinTelegraph Title: Ethereum Archive Node service shuts down saying it ‘succeeded’ Description: ArchiveNode.io has closed its doors following three years of providing archived Ethereum blockchain node data.,0
CoinTelegraph,"Nifty News: Gucci to drop Otherside pendants, Jack Daniels taps AR, Web3 and more","Jack Daniels is dropping digital collectibles in an AR game, while FIFA launched an AI-football simulation game that will eventually ship NFT integrations.","Source: CoinTelegraph Title: Nifty News: Gucci to drop Otherside pendants, Jack Daniels taps AR, Web3 and more Description: Jack Daniels is dropping digital collectibles in an AR game, while FIFA launched an AI-football simulation game that will eventually ship NFT integrations.",0
CoinTelegraph,Ethereum ERC-4337 ‘bundlers’ — How hard is joining the network?,"Ethereum’s new account abstraction features make crypto more user-friendly, but how hard is it to join the new network?","Source: CoinTelegraph Title: Ethereum ERC-4337 ‘bundlers’ — How hard is joining the network? Description: Ethereum’s new account abstraction features make crypto more user-friendly, but how hard is it to join the new network?",0
CryptoPotato,"Bitcoin to Gold Correlation Surges Amid Banking Turmoil, Surpasses Stocks","After a year of trading like a falling tech stock, Bitcoin is finally starting to behave like a safe haven asset.\xa0","Source: CryptoPotato Title: Bitcoin to Gold Correlation Surges Amid Banking Turmoil, Surpasses Stocks Description: After a year of trading like a falling tech stock, Bitcoin is finally starting to behave like a safe haven asset.\xa0",1
CryptoNews,"Best Crypto to Buy Now 3 April \x93 SNX, ADA, STX","Bitcoin remains stable around $28,000 amid a period of uncertainty in the cryptocurrency market. Here's how current market conditions may affect investment decisions regarding the best cryptos to buy now.","Source: CryptoNews Title: Best Crypto to Buy Now 3 April \x93 SNX, ADA, STX Description: Bitcoin remains stable around $28,000 amid a period of uncertainty in the cryptocurrency market. Here's how current market conditions may affect investment decisions regarding the best cryptos to buy now.",0
CoinTelegraph,"INX security token platform gets its first token from a public company, Greenbriar",INX security tokens exist on Ethereum and use the ERC-1404 standard.,"Source: CoinTelegraph Title: INX security token platform gets its first token from a public company, Greenbriar Description: INX security tokens exist on Ethereum and use the ERC-1404 standard.",0
CryptoNews,Dogecoin Price Prediction as Doge Pumps 30% After Twitter Logo Rebrand - Is Love Hate Inu Next to Explode?,"Dogecoin's value skyrocketed by over 30% today after Elon Musk's Twitter adopted the meme coin's symbol as its logo. As its price retraces from its intraday high, what's in store for the meme coin?","Source: CryptoNews Title: Dogecoin Price Prediction as Doge Pumps 30% After Twitter Logo Rebrand - Is Love Hate Inu Next to Explode? Description: Dogecoin's value skyrocketed by over 30% today after Elon Musk's Twitter adopted the meme coin's symbol as its logo. As its price retraces from its intraday high, what's in store for the meme coin?",1
CryptoPotato,$211 Million Worth of Crypto Drained in March in 26 Hacks: PeckShield,The Euler Finance attack comprised nearly 93% of the total digital assets lost due to hacking exploits last mont.,Source: CryptoPotato Title: $211 Million Worth of Crypto Drained in March in 26 Hacks: PeckShield Description: The Euler Finance attack comprised nearly 93% of the total digital assets lost due to hacking exploits last mont.,1
CoinTelegraph,Bakkt completes $200M acquisition of Apex Crypto,Apex Crypto has brokered $12.5 billion in crypto trades since inception.,Source: CoinTelegraph Title: Bakkt completes $200M acquisition of Apex Crypto Description: Apex Crypto has brokered $12.5 billion in crypto trades since inception.,0
CoinTelegraph,Crypto market momentum stalls as traders await the results of recent regulatory actions,"Crypto’s bullish momentum may stall at the $1.2 trillion total market cap resistance, but traders' newfound caution has not translated to excessive demand for short positions.","Source: CoinTelegraph Title: Crypto market momentum stalls as traders await the results of recent regulatory actions Description: Crypto’s bullish momentum may stall at the $1.2 trillion total market cap resistance, but traders' newfound caution has not translated to excessive demand for short positions.",0
CoinTelegraph,"Price analysis 4/3: SPX, DXY, BTC, ETH, BNB, XRP, ADA, MATIC, DOGE, SOL","Macroeconomic headwinds continue to pressure the crypto market, but bulls appear steadfast on holding $28,000 for support and this could provide tailwinds for altcoins.","Source: CoinTelegraph Title: Price analysis 4/3: SPX, DXY, BTC, ETH, BNB, XRP, ADA, MATIC, DOGE, SOL Description: Macroeconomic headwinds continue to pressure the crypto market, but bulls appear steadfast on holding $28,000 for support and this could provide tailwinds for altcoins.",1
CoinTelegraph,"KuCoin Wallet spins off from KuCoin exchange, renames as Halo Wallet","The newly branded Halo Wallet seeks to broaden its efforts from Web3 to social finance, also known as SocialFi.","Source: CoinTelegraph Title: KuCoin Wallet spins off from KuCoin exchange, renames as Halo Wallet Description: The newly branded Halo Wallet seeks to broaden its efforts from Web3 to social finance, also known as SocialFi.",1
CryptoPotato,Dogecoin Explodes 25% After Elon Musk Changes Twitter Icon to Doge Meme,Twitter’s former blue bird icon is now just a picture of Doge.\xa0,Source: CryptoPotato Title: Dogecoin Explodes 25% After Elon Musk Changes Twitter Icon to Doge Meme Description: Twitter’s former blue bird icon is now just a picture of Doge.\xa0,1
CoinTelegraph,Potential Fed pivot has crypto and macro analysts ultra-bullish on Bitcoin’s price prospects,Fidelity’s head of macro suggests that the end of the Fed’s quantitative tightening policy could be bullish for Bitcoin and gold.,Source: CoinTelegraph Title: Potential Fed pivot has crypto and macro analysts ultra-bullish on Bitcoin’s price prospects Description: Fidelity’s head of macro suggests that the end of the Fed’s quantitative tightening policy could be bullish for Bitcoin and gold.,1
CoinTelegraph,Elon Musk changes Twitter icon to Doge after seeking lawsuit dismissal,The American billionaire is being sued for $258 billion in a racketeering lawsuit alleging Musk ran a pyramid scheme to support Dogecoin.,Source: CoinTelegraph Title: Elon Musk changes Twitter icon to Doge after seeking lawsuit dismissal Description: The American billionaire is being sued for $258 billion in a racketeering lawsuit alleging Musk ran a pyramid scheme to support Dogecoin.,0
CryptoPotato,How MEV Bots Lost a Whopping $20M in a Sandwich Attack,An Ethereum validator just targeted an MEV bot in a sandwich attack planned for at least half a month.\xa0,Source: CryptoPotato Title: How MEV Bots Lost a Whopping $20M in a Sandwich Attack Description: An Ethereum validator just targeted an MEV bot in a sandwich attack planned for at least half a month.\xa0,1
CoinTelegraph,Bitcoin breakout 'matter of time' says analysis with BTC price at $28K,"Bitcoin will make a decision sooner rather than later, according to cues from the Binance order book.","Source: CoinTelegraph Title: Bitcoin breakout 'matter of time' says analysis with BTC price at $28K Description: Bitcoin will make a decision sooner rather than later, according to cues from the Binance order book.",0
CoinTelegraph,WonderFi merges with Coinsquare and CoinSmart to form regulated crypto asset platform,The newly merged cryptocurrency trading platform has a total of 1.65 million registered users.,Source: CoinTelegraph Title: WonderFi merges with Coinsquare and CoinSmart to form regulated crypto asset platform Description: The newly merged cryptocurrency trading platform has a total of 1.65 million registered users.,0
CryptoPotato,Vitalik Buterin Calls for Deployment of zk-EVMs on Ethereum\xa0,The Ethereum developer believes deploying zk-EVMs on the network's primary level would enhance its verification process.,Source: CryptoPotato Title: Vitalik Buterin Calls for Deployment of zk-EVMs on Ethereum\xa0 Description: The Ethereum developer believes deploying zk-EVMs on the network's primary level would enhance its verification process.,0
CryptoNews,New Report: U.S. Crypto Crackdown Boosts Hong Kong's Ambitions in Digital Asset Market \x93 Best Crypto Destination?,The ongoing regulatory crackdown on crypto in the US could boost Hong Kong in its bid to become a new hub for the crypto industry.,Source: CryptoNews Title: New Report: U.S. Crypto Crackdown Boosts Hong Kong's Ambitions in Digital Asset Market \x93 Best Crypto Destination? Description: The ongoing regulatory crackdown on crypto in the US could boost Hong Kong in its bid to become a new hub for the crypto industry.,1
CryptoNews,"Today in Crypto: Poloniex Partners with Mercuryo on Crypto Purchases, Hong Kong Hunting Six Scammers, DFINITY Foundation Launches 'Twin' Token ckBTC","Get your daily, bite-sized digest of cryptoasset and blockchain-related news.","Source: CryptoNews Title: Today in Crypto: Poloniex Partners with Mercuryo on Crypto Purchases, Hong Kong Hunting Six Scammers, DFINITY Foundation Launches 'Twin' Token ckBTC Description: Get your daily, bite-sized digest of cryptoasset and blockchain-related news.",0
